city,state,zip,phone,intake1,intake2,intake1a,intake2a,facility_name,address,type_of_care,service_setting,facility_type,pharmacotherapies,treatment_approaches,emergency_services,facility_operation,license_certification,payment_funding,payment_assistance,special_programs_groups,assessment_pretreatment,testing,recovery_support,education_counseling,smoking_policy,age_groups_accepted,language_services,vaping_policy,ancillary_services,all_services_list,assertive community treatment,assisted outpatient treatment,case management service,chronic disease,court-ordered outpatient treatment,diet and exercise counseling,education services,family psychoeducation,housing services,illness management,illness management and recovery,integrated primary care services,intensive case management,legal advocacy,mentoring,peer support,psychosocial rehabilitation services,suicide prevention services,supported employment,supported housing,therapeutic foster care,vocational rehabilitation services,cluster_label,tier_name,source_confidence,data_scope
Absecon,NJ,08205,609-404-0648 x104,609-404-0648,,,,Atlanticare Behavioral Health Services Adult and Adult Acute Partial Services,,"Mental health treatment, Treatment for co-occurring substance use plus mental health conditions",Partial hospitalization / day treatment,Partial hospitalization / day treatment,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Clozapine, Fluphenazine, Haloperidol, Nicotine replacement, Olanzapine, Paliperidone, Quetiapine, Risperidone, Ziprasidone","Abnormal involuntary movement scale, Activity therapy, Cognitive behavioral therapy, Group therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy",,Private non-profit organization,,"Cash or self-payment, Community Service Block Grants, Federal military insurance, Medicaid, Medicare, Private health insurance, State mental health agency funds, State-financed health insurance plan other than Medicaid",,Persons 18 and older with serious mental illness,Screening for tobacco use,,,Smoking / vaping / tobacco cessation counseling,Smoking permitted in designated area,"Adults, Seniors, Young adults",Sign language services for the deaf and hard of hearing,Vaping permitted in designated area,"Case management service, Education services, Family psychoeducation, Illness management and recovery, Psychosocial rehabilitation services, Suicide prevention services","['case management service', 'education services', 'family psychoeducation', 'illness management and recovery', 'psychosocial rehabilitation services', 'suicide prevention services']",0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,Structured Clinical & Family Support,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Absecon,NJ,08205,609-710-9936,609-205-4263,,,,Boca Recovery Center,30 West Jimmie Leeds Road,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Residential / 24-hour residential,Residential treatment center for adults,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Clozapine, Haloperidol, Nicotine replacement, Olanzapine, Paliperidone, Quetiapine, Risperidone, Ziprasidone","Activity therapy, Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy",Crisis intervention team,Private for-profit organization,,"Cash or self-payment, Private health insurance",,,Screening for tobacco use,"Laboratory testing, Metabolic syndrome monitoring",,,Smoking permitted in designated area,"Adults, Seniors, Young adults",,Vaping permitted in designated area,"Case management service, Court-ordered outpatient treatment, Diet and exercise counseling, Education services, Family psychoeducation, Integrated primary care services, Supported housing, Vocational rehabilitation services","['case management service', 'court-ordered outpatient treatment', 'diet and exercise counseling', 'education services', 'family psychoeducation', 'integrated primary care services', 'supported housing', 'vocational rehabilitation services']",0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,Structured Clinical & Family Support,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Absecon,NJ,08201,609-652-1600,877-922-2377,,,,Center for Family Services,312 East White Horse Pike,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Outpatient,Outpatient mental health facility,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Brexpiprazole, Cariprazine, Clozapine, Fluphenazine, Haloperidol, Loxapine, Lurasidone, Olanzapine, Olanzapine/Fluoxetine combination, Perphenazine, Prochlorperazine, Quetiapine, Risperidone","Activity therapy, Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy",,Private non-profit organization,,"Cash or self-payment, Federal military insurance, Medicaid, Medicare, Other State funds, Private health insurance, State mental health agency funds, State welfare or child and family services funds, State-financed health insurance plan other than Medicaid",Payment assistance available,"Active duty military, Children/adolescents with serious emotional disturbance, Clients with HIV or AIDS, Clients with co-occurring mental and substance use disorders, Clients with trauma, Criminal justice / forensic clients, LGBTQ, Members of military families, Persons 18 and older with serious mental illness, Persons with eating disorders, Persons with post-traumatic stress disorder, Seniors or older adults, Veterans, Young adults",Screening for tobacco use,Metabolic syndrome monitoring,,Smoking / vaping / tobacco cessation counseling,Smoking permitted in designated area,"Adults, Children / adolescents, Seniors, Young adults",,Vaping permitted in designated area,"Assertive community treatment, Chronic disease / illness management, Court-ordered outpatient treatment, Family psychoeducation, Suicide prevention services","['assertive community treatment', 'chronic disease', 'illness management', 'court-ordered outpatient treatment', 'family psychoeducation', 'suicide prevention services']",1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,Specialized Chronic Care,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Absecon,NJ,08205,609-232-7961,,,,,Eleanor Health Galloway,,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Outpatient,Outpatient mental health facility,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Asenapine, Brexpiprazole, Cariprazine, Chlorpromazine, Clozapine, Droperidol, Fluphenazine, Haloperidol, Iloperidone, Loxapine, Lurasidone, Nicotine replacement, Non-nicotine smoking/tobacco cessation, Olanzapine, Olanzapine/Fluoxetine combination, Paliperidone, Perphenazine, Pimozide, Prochlorperazine, Quetiapine, Risperidone, Thiothixene, Trifluoperazine, Ziprasidone","Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy",,Private for-profit organization,,"Cash or self-payment, Federal military insurance, Medicaid, Medicare, Private health insurance, Private or Community foundation, State mental health agency funds, State-financed health insurance plan other than Medicaid",,,Screening for tobacco use,,Mentoring / peer support,Smoking / vaping / tobacco cessation counseling,Smoking not permitted,"Adults, Seniors, Young adults",Sign language services for the deaf and hard of hearing,Vaping not permitted,"Case management service, Family psychoeducation","['case management service', 'family psychoeducation', 'mentoring', 'peer support']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Peer & Community-Led Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Absecon,NJ,08205,609-383-8668 x103,,609-383-8668 x120,,,Helping Hand Behavioral Health Corp,318 South Pitney Road,"Mental health treatment, Treatment for co-occurring substance use plus mental health conditions","Outpatient, Partial hospitalization / day treatment",Partial hospitalization / day treatment,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Chlorpromazine, Clozapine, Fluphenazine, Haloperidol, Lurasidone, Non-nicotine smoking/tobacco cessation, Olanzapine, Olanzapine/Fluoxetine combination, Paliperidone, Perphenazine, Quetiapine, Risperidone, Thioridazine, Ziprasidone","Abnormal involuntary movement scale, Activity therapy, Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy",,Private for-profit organization,,"Cash or self-payment, County or local government funds, Medicaid, Medicare, Other State funds, State welfare or child and family services funds, State-financed health insurance plan other than Medicaid",,"Clients with co-occurring mental and substance use disorders, Persons 18 and older with serious mental illness",Screening for tobacco use,"Laboratory testing, Metabolic syndrome monitoring",,Smoking / vaping / tobacco cessation counseling,Smoking permitted in designated area,"Adults, Seniors, Young adults",,Vaping permitted in designated area,"Case management service, Court-ordered outpatient treatment, Family psychoeducation, Illness management and recovery","['case management service', 'court-ordered outpatient treatment', 'family psychoeducation', 'illness management and recovery']",0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,Structured Clinical & Family Support,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Alloway,NJ,08001,856-935-1555 x433,,,,,Ranch Hope Inc Strang School,45 Sawmill Road P.O. Box 325,"Mental health treatment, Treatment for co-occurring substance use plus mental health conditions",Residential / 24-hour residential,Residential treatment center for children,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Asenapine, Cariprazine, Chlorpromazine, Lurasidone, Olanzapine, Olanzapine/Fluoxetine combination, Paliperidone, Quetiapine, Risperidone, Ziprasidone","Activity therapy, Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy",,Private non-profit organization,,"Medicaid, Private health insurance",,"Children/adolescents with serious emotional disturbance, Clients with co-occurring mental and substance use disorders, Clients with trauma, Criminal justice / forensic clients, LGBTQ, Members of military families, Persons with eating disorders, Persons with post-traumatic stress disorder, Persons with traumatic brain injury",,,,,Smoking not permitted,Children / adolescents,Spanish,Vaping not permitted,"Case management service, Chronic disease / illness management, Court-ordered outpatient treatment, Diet and exercise counseling, Education services, Family psychoeducation, Illness management and recovery, Integrated primary care services, Psychosocial rehabilitation services","['case management service', 'chronic disease', 'illness management', 'court-ordered outpatient treatment', 'diet and exercise counseling', 'education services', 'family psychoeducation', 'illness management and recovery', 'integrated primary care services', 'psychosocial rehabilitation services']",0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2,Specialized Chronic Care,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Asbury Park,NJ,07712,732-774-6886,732-774-6886 x17,732-774-6886 x16,,,Jewish Family and Childrens Services Greater Monmouth County,705 Summerfield Avenue,"Mental health treatment, Substance use treatment",Outpatient,Outpatient mental health facility,,"Cognitive behavioral therapy, Couples/family therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy",,Private non-profit organization,,"Cash or self-payment, Medicaid, Medicare, Private health insurance, Private or Community foundation",,,Screening for tobacco use,,,,Smoking permitted without restriction,"Adults, Children / adolescents, Seniors, Young adults",,Vaping permitted without restriction,Court-ordered outpatient treatment,['court-ordered outpatient treatment'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Essential Support Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Atlantic City,NJ,08401,609-348-1161,609-646-9159,,,,Atlanticare Behavorial Health,13 North Hartford Avenue,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Outpatient,Certified Community Behavioral Health Clinic,"Antipsychotics used in treatment of serious mental illness, Nicotine replacement, Non-nicotine smoking/tobacco cessation","Abnormal involuntary movement scale, Cognitive behavioral therapy, Group therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy","Psychiatric emergency mobile/off-site services, Psychiatric emergency walk-in services",Private non-profit organization,,"Cash or self-payment, Medicaid, Medicare, Private health insurance, State mental health agency funds",,"Clients with co-occurring mental and substance use disorders, Persons 18 and older with serious mental illness",Screening for tobacco use,,Mentoring / peer support,Smoking / vaping / tobacco cessation counseling,Smoking not permitted,"Adults, Seniors, Young adults","Sign language services for the deaf and hard of hearing, Spanish",Vaping not permitted,"Assisted Outpatient Treatment, Case management service, Court-ordered outpatient treatment, Education services, Illness management and recovery, Psychosocial rehabilitation services, Suicide prevention services, Vocational rehabilitation services","['assisted outpatient treatment', 'case management service', 'court-ordered outpatient treatment', 'education services', 'illness management and recovery', 'psychosocial rehabilitation services', 'suicide prevention services', 'vocational rehabilitation services', 'mentoring', 'peer support']",0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,Peer & Community-Led Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Atlantic City,NJ,08401,609-572-8510,609-344-1118,,,,Atlanticare Regional Medical Center Pychiatric Intervention Program,1925 Pacific Avenue,"Mental health treatment, Treatment for co-occurring substance use plus mental health conditions","Hospital inpatient / 24-hour hospital inpatient, Outpatient",,"Antipsychotics used in treatment of serious mental illness, Nicotine replacement","Abnormal involuntary movement scale, Telemedicine / telehealth therapy","Crisis intervention team, Psychiatric emergency mobile/off-site services, Psychiatric emergency onsite services, Psychiatric emergency walk-in services",Private non-profit organization,,"Cash or self-payment, Medicaid, Medicare, Private health insurance, State mental health agency funds",,,Screening for tobacco use,"Laboratory testing, Metabolic syndrome monitoring",Mentoring / peer support,Smoking / vaping / tobacco cessation counseling,Smoking not permitted,"Adults, Children / adolescents, Seniors, Young adults",Sign language services for the deaf and hard of hearing,Vaping not permitted,"Family psychoeducation, Suicide prevention services","['family psychoeducation', 'suicide prevention services', 'mentoring', 'peer support']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,Peer & Community-Led Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Bayonne,NJ,07002,201-535-5959,,201-535-5960,,,Northstar Health Systems,354 Avenue C Penthouse Suite,"Mental health treatment, Substance use treatment",Outpatient,Outpatient mental health facility,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Chlorpromazine, Clozapine, Fluphenazine, Haloperidol, Iloperidone, Loxapine, Olanzapine, Prochlorperazine, Risperidone, Thioridazine, Thiothixene, Trifluoperazine","Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy, Telemedicine / telehealth therapy",,Private for-profit organization,Mental health clinic or mental health center,"Cash or self-payment, Medicare, Private health insurance",,,,,,,Smoking not permitted,"Adults, Children / adolescents, Seniors, Young adults","Other languages excluding Spanish, Spanish",Vaping not permitted,"Court-ordered outpatient treatment, Diet and exercise counseling, Family psychoeducation","['court-ordered outpatient treatment', 'diet and exercise counseling', 'family psychoeducation']",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Essential Support Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
